Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1996-08-06,80.10959,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-07,74.30928,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-08,68.608246,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-09,64.35052,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-10,62.40206,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-11,64.546394,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-12,59.17526,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-13,58.29897,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-14,61.103092,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-15,75.8866,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-16,79.91753,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-17,77.93814,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-18,81.5567,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-19,81.91753,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-20,75.85567,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-21,72.762886,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-22,71.46392,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-23,80.28125,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-24,77.69072,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-25,74.78351,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-26,92.8866,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-27,98.97938,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-28,103.80412,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-29,92.793816,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-30,88.09278,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-08-31,84.93814,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-01,81.40206,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-02,78.92783,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-03,76.22681,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-04,74.0,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-05,71.93814,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-06,70.793816,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-07,69.08247,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-08,62.907215,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-09,58.26804,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-10,55.587627,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-11,57.958763,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-12,85.64948,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-13,88.57732,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-14,101.103096,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-15,99.697914,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-16,87.47423,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-17,99.639175,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-18,91.72165,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-19,86.453606,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-20,81.28866,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-21,80.69072,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-22,80.98969,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-23,85.90722,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-24,97.16495,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-25,92.16495,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-26,69.896904,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-27,67.03093,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-28,67.14433,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-29,64.98969,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-09-30,63.061855,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-01,62.082474,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-02,60.72165,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-03,63.15464,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-04,67.07217,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-05,62.0,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-06,59.15464,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-07,57.474228,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-08,55.649483,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-09,54.484535,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-10,53.833332,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-11,,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-12,,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-13,,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-14,,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-15,,streamflow,9292000,ft3/s,"['A', '[91]']",0
1996-10-16,,streamflow,9292000,ft3/s,"['A', '[91]']",0
